1;Falschirmspringverein Remmscheid;Am Flugplatz;76678;1;Remmscheid;08876/54456;NULL;NULL
2;Extreme Tours DE;Hammerplatz;76677;15b;Halling;08869/74463;GetTheFun@netcom.net;"08869/74465              "
3;Bike n Fun;Hauptstraße;78778;34;Gütersdorf;09889/6529987;BnF@Hotmail.com;"09889/6529988            "
4;Climb with U;Scheller Str.;77872;5;Dorstadt;09664/7667-300;info@CWU.net;"09664/7667-301           "
5;Tauchsportfreunde Unterhaching;Irmenweg;95567;224b;Unterhaching;09211/65657;NULL;NULL
6;Klettervereinigung Eberswald;Hanser - Straße;56645;45;Eberswald;06775-64563;Klettern.Eberswald@freemail.com;06775-64562
7;Skisportverein Emmersee;Uferstraße;96675;12;Irring am Emmersee;08865-38763;SkiAmEmmersee@Hotmail.net;NULL
8;Trend Sports GmbH;Halser-Str.;95546;29b;Walching;06635-30-300;TSGmbH@Provider.com;06635-30-301
9;La Strada Spa;Via Allende;40000;12;Modena;066/76656/62445;NULL;066/76656/62449
10;Max Tours;Wengenstraße;77678;8;Rendershain;06674-777656;MaxTours@providers.net;NULL
